"Vars","Estimate","stdError","p"
"Intercept","443.261",32.14,"<0.001 *"
"drivingMinus7","1.902",1.463,"0.198"
"walkingMinus7","0.289",1.099,"0.793"
"transitMinus7","-4.92",1.854,"0.01 *"
"drivingMinus8","-0.577",1.826,"0.753"
"walkingMinus8","-0.106",1.154,"0.927"
"transitMinus8","-1.395",1.855,"0.455"
"R2 Adjusted Training","0.683",NA,NA
"R2 Test","0.569",NA,NA
"RMSE Train","67.938",NA,NA
"RMSE Test","111.669",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.031",NA,NA
