"Vars","Estimate","stdError","p"
"Intercept","-0.688",26.46,"0.979"
"drivingMinus8","8.191",1.306,"<0.001 *"
"walkingMinus8","-4.467",0.906,"<0.001 *"
"transitMinus8","-2.658",0.571,"<0.001 *"
"anomalousWeekend","-3.047",60.626,"0.96"
"longWeekend","30.551",31.389,"0.331"
"weekend","-63.685",16.864,"<0.001 *"
"casesTminus1","0.378",0.064,"<0.001 *"
"casesTminus2","0.046",0.062,"0.459"
"R2 Adjusted Training","0.527",NA,NA
"R2 Test","0.032",NA,NA
"RMSE Train","109.558",NA,NA
"RMSE Test","244.597",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.18",NA,NA
