"Vars","Estimate","stdError","p"
"Intercept","121.675",163.633,"0.458"
"drivingMinus8","0.792",7.832,"0.92"
"walkingMinus8","6.543",5.889,"0.268"
"transitMinus8","-9.347",4.034,"0.021 *"
"anomalousWeekend","-18.696",427.917,"0.965"
"longWeekend","14.202",218.932,"0.948"
"weekend","-267.227",112.609,"0.018 *"
"casesTminus1","0.148",0.063,"0.02 *"
"casesTminus2","0.167",0.063,"0.009 *"
"R2 Adjusted Training","0.234",NA,NA
"R2 Test","0.142",NA,NA
"RMSE Train","762.469",NA,NA
"RMSE Test","611.409",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.408",NA,NA
