"Vars","Estimate","stdError","p"
"Intercept","5.497",15.267,"0.719"
"drivingMinus8","0.19",0.319,"0.552"
"walkingMinus8","0.098",0.297,"0.742"
"transitMinus8","-0.313",0.307,"0.31"
"anomalousWeekend","3.7",29.86,"0.901"
"longWeekend","-13.053",14.872,"0.381"
"weekend","-22.413",7.913,"0.005 *"
"casesTminus1","0.483",0.059,"<0.001 *"
"casesTminus2","0.403",0.06,"<0.001 *"
"R2 Adjusted Training","0.748",NA,NA
"R2 Test","0.76",NA,NA
"RMSE Train","51.996",NA,NA
"RMSE Test","126.975",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.187",NA,NA
