"Vars","Estimate","stdError","p"
"Intercept","-117.256",222.201,"0.598"
"drivingMinus8","29.762",12.466,"0.018 *"
"walkingMinus8","-10.355",8.565,"0.228"
"transitMinus8","-26.641",7.091,"<0.001 *"
"anomalousWeekend","298.342",563.001,"0.597"
"longWeekend","-228.402",284.919,"0.424"
"weekend","-335.665",146.411,"0.023 *"
"casesTminus1","0.147",0.064,"0.022 *"
"casesTminus2","0.143",0.064,"0.027 *"
"R2 Adjusted Training","0.25",NA,NA
"R2 Test","0.026",NA,NA
"RMSE Train","985.799",NA,NA
"RMSE Test","453.494",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.567",NA,NA
