"Vars","Estimate","stdError","p"
"Intercept","-22.615",163.839,"0.89"
"drivingMinus8","-4.09",5.635,"0.469"
"walkingMinus8","6.748",4.957,"0.175"
"transitMinus8","-3.626",4.366,"0.407"
"anomalousWeekend","-24.389",310.053,"0.937"
"longWeekend","125.542",153.739,"0.415"
"weekend","-64.494",79.167,"0.416"
"casesTminus1","0.573",0.062,"<0.001 *"
"casesTminus2","0.374",0.062,"<0.001 *"
"R2 Adjusted Training","0.869",NA,NA
"R2 Test","0.02",NA,NA
"RMSE Train","534.339",NA,NA
"RMSE Test","796.982",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.461",NA,NA
