"Vars","Estimate","stdError","p"
"Intercept","1.245",18.56,"0.947"
"drivingMinus8","-0.125",0.695,"0.857"
"walkingMinus8","0.421",0.477,"0.379"
"transitMinus8","-1.007",0.604,"0.096"
"anomalousWeekend","4.263",45.558,"0.926"
"longWeekend","-20.174",23.466,"0.391"
"weekend","-8.327",13.408,"0.535"
"casesTminus1","0.526",0.064,"<0.001 *"
"casesTminus2","0.303",0.065,"<0.001 *"
"R2 Adjusted Training","0.657",NA,NA
"R2 Test","0.634",NA,NA
"RMSE Train","81.232",NA,NA
"RMSE Test","357.602",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.257",NA,NA
