"Vars","Estimate","stdError","p"
"Intercept","7.479",6.543,"0.254"
"drivingMinus8","-0.49",0.171,"0.004 *"
"walkingMinus8","0.464",0.222,"0.037 *"
"transitMinus8","-0.323",0.172,"0.06"
"anomalousWeekend","-3.35",14.708,"0.82"
"longWeekend","2.779",6.717,"0.679"
"weekend","-13.317",3.82,"0.001 *"
"casesTminus1","-0.071",0.019,"<0.001 *"
"casesTminus2","0.905",0.019,"<0.001 *"
"R2 Adjusted Training","0.934",NA,NA
"R2 Test","0.84",NA,NA
"RMSE Train","36.749",NA,NA
"RMSE Test","60.787",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
