"Vars","Estimate","stdError","p"
"Intercept","470.632",164.752,"0.006 *"
"drivingMinus8","-14.603",6.045,"0.019 *"
"walkingMinus8","8.656",6.856,"0.211"
"transitMinus8","2.648",3.439,"0.444"
"anomalousWeekend","80.837",142.693,"0.573"
"longWeekend","-190.827",127.099,"0.138"
"weekend","-39.285",69.15,"0.572"
"casesTminus1","0.167",0.104,"0.112"
"casesTminus2","0.506",0.103,"<0.001 *"
"R2 Adjusted Training","0.586",NA,NA
"R2 Test","0.05",NA,NA
"RMSE Train","218.44",NA,NA
"RMSE Test","229.72",NA,NA
"RMSPE Train","4.283",NA,NA
"RMSPE Test","Inf",NA,NA
