"Vars","Estimate","stdError","p"
"Intercept","5.665",21.663,"0.794"
"drivingMinus8","-1.705",0.654,"0.01 *"
"walkingMinus8","1.461",0.464,"0.002 *"
"transitMinus8","-0.122",0.489,"0.803"
"anomalousWeekend","7.086",52.831,"0.893"
"longWeekend","-25.994",26.567,"0.329"
"weekend","-36.471",13.697,"0.008 *"
"casesTminus1","0.566",0.061,"<0.001 *"
"casesTminus2","0.426",0.063,"<0.001 *"
"R2 Adjusted Training","0.839",NA,NA
"R2 Test","0.361",NA,NA
"RMSE Train","92.229",NA,NA
"RMSE Test","518.666",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.241",NA,NA
