"Vars","Estimate","stdError","p"
"Intercept","4.74",3.518,"0.178"
"drivingMinus8","-0.326",0.118,"0.006 *"
"walkingMinus8","0.383",0.151,"0.012 *"
"transitMinus8","-0.084",0.083,"0.307"
"anomalousWeekend","-0.96",7.683,"0.901"
"longWeekend","-1.513",4.14,"0.715"
"weekend","-4.93",1.989,"0.014 *"
"casesTminus1","-0.018",0.011,"0.106"
"casesTminus2","0.974",0.011,"<0.001 *"
"R2 Adjusted Training","0.957",NA,NA
"R2 Test","0.887",NA,NA
"RMSE Train","19.296",NA,NA
"RMSE Test","75.402",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
