"Vars","Estimate","stdError","p"
"Intercept","118.549",107.643,"0.272"
"drivingMinus8","-0.669",3.34,"0.841"
"walkingMinus8","0.532",2.909,"0.855"
"transitMinus8","-2.459",2.111,"0.245"
"anomalousWeekend","44.233",255.378,"0.863"
"longWeekend","-3.592",129.432,"0.978"
"weekend","-282.063",67.13,"<0.001 *"
"casesTminus1","0.437",0.066,"<0.001 *"
"casesTminus2","0.438",0.07,"<0.001 *"
"R2 Adjusted Training","0.732",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","451.392",NA,NA
"RMSE Test","3025.989",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.312",NA,NA
