"Vars","Estimate","stdError","p"
"Intercept","16.089",16.769,"0.338"
"drivingMinus8","0.54",1.092,"0.622"
"walkingMinus8","-0.077",0.741,"0.917"
"transitMinus8","-1.405",0.621,"0.025 *"
"anomalousWeekend","2.326",45.927,"0.96"
"longWeekend","-10.985",23.34,"0.638"
"weekend","-11.892",12.037,"0.324"
"casesTminus1","0.458",0.063,"<0.001 *"
"casesTminus2","0.31",0.064,"<0.001 *"
"R2 Adjusted Training","0.66",NA,NA
"R2 Test","0.597",NA,NA
"RMSE Train","80.302",NA,NA
"RMSE Test","179.574",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.227",NA,NA
