"Vars","Estimate","stdError","p"
"Intercept","62.205",15.534,"<0.001 *"
"drivingMinus8","-0.856",0.486,"0.08"
"walkingMinus8","0.179",1.255,"0.887"
"transitMinus8","0.913",1.242,"0.463"
"anomalousWeekend","-29.17",32.466,"0.37"
"longWeekend","-18.716",17.143,"0.276"
"weekend","-47.234",10.796,"<0.001 *"
"casesTminus1","0.847",0.078,"<0.001 *"
"casesTminus2","0.108",0.082,"0.186"
"R2 Adjusted Training","0.944",NA,NA
"R2 Test","0.118",NA,NA
"RMSE Train","57.823",NA,NA
"RMSE Test","86.312",NA,NA
"RMSPE Train","1.103",NA,NA
"RMSPE Test","0.332",NA,NA
