"Vars","Estimate","stdError","p"
"Intercept","15.429",12.203,"0.209"
"drivingMinus8","1.259",0.501,"0.014 *"
"walkingMinus8","0.431",0.773,"0.578"
"transitMinus8","-3.597",0.7,"<0.001 *"
"anomalousWeekend","25.471",23.398,"0.279"
"longWeekend","-24.041",14.542,"0.102"
"weekend","-46.195",11.355,"<0.001 *"
"casesTminus1","0.389",0.094,"<0.001 *"
"casesTminus2","-0.128",0.093,"0.171"
"R2 Adjusted Training","0.795",NA,NA
"R2 Test","0.841",NA,NA
"RMSE Train","37.687",NA,NA
"RMSE Test","90.71",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.511",NA,NA
