"Vars","Estimate","stdError","p"
"Intercept","29.314",11.082,"0.009 *"
"drivingMinus8","2.186",0.628,"0.001 *"
"walkingMinus8","-0.693",0.317,"0.03 *"
"transitMinus8","-0.975",0.575,"0.091"
"anomalousWeekend","-15.007",42.874,"0.727"
"longWeekend","-2.797",22.227,"0.9"
"weekend","-43.514",11.732,"<0.001 *"
"casesTminus1","0.574",0.064,"<0.001 *"
"casesTminus2","0.19",0.062,"0.002 *"
"R2 Adjusted Training","0.77",NA,NA
"R2 Test","0.01",NA,NA
"RMSE Train","77.505",NA,NA
"RMSE Test","510.023",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
