"Vars","Estimate","stdError","p"
"Intercept","251.539",69.224,"0.001 *"
"drivingMinus9","0.171",1.644,"0.917"
"walkingMinus9","-0.633",1.072,"0.557"
"transitMinus9","-1.648",2.555,"0.521"
"drivingMinus10","-1.916",1.616,"0.24"
"walkingMinus10","-1.54",1.143,"0.182"
"transitMinus10","5.341",2.907,"0.07"
"anomalousWeekend","-36.894",41.336,"0.375"
"longWeekend","-55.135",36.9,"0.14"
"weekend","-6.978",19.167,"0.717"
"casesTminus1","0.234",0.117,"0.049 *"
"casesTminus2","0.242",0.117,"0.042 *"
"R2 Adjusted Training","0.584",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","62.83",NA,NA
"RMSE Test","62.028",NA,NA
"RMSPE Train","1.546",NA,NA
"RMSPE Test","0.745",NA,NA
