"Vars","Estimate","stdError","p"
"Intercept","243.368",44.4,"<0.001 *"
"drivingMinus9","1.499",1.233,"0.228"
"walkingMinus9","0.157",0.734,"0.831"
"transitMinus9","-2.085",1.639,"0.207"
"drivingMinus10","0.083",1.11,"0.94"
"walkingMinus10","-0.571",0.555,"0.308"
"transitMinus10","-1.044",1.448,"0.473"
"anomalousWeekend","3.367",20.985,"0.873"
"longWeekend","-22.25",15.966,"0.168"
"weekend","-44.699",10.327,"<0.001 *"
"casesTminus1","0.373",0.102,"<0.001 *"
"casesTminus2","-0.25",0.104,"0.019 *"
"R2 Adjusted Training","0.851",NA,NA
"R2 Test","0.564",NA,NA
"RMSE Train","34.297",NA,NA
"RMSE Test","50.549",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.538",NA,NA
