"Vars","Estimate","stdError","p"
"Intercept","84.175",25.314,"0.001 *"
"drivingMinus9","-1.056",0.58,"0.073"
"walkingMinus9","0.049",0.385,"0.899"
"transitMinus9","0.479",0.52,"0.36"
"anomalousWeekend","-10.427",22.017,"0.637"
"longWeekend","-10.813",14.9,"0.471"
"weekend","-10.644",9.284,"0.256"
"casesTminus1","0.212",0.129,"0.107"
"casesTminus2","0.124",0.132,"0.351"
"R2 Adjusted Training","0.438",NA,NA
"R2 Test","0.021",NA,NA
"RMSE Train","26.056",NA,NA
"RMSE Test","23.798",NA,NA
"RMSPE Train","2.075",NA,NA
"RMSPE Test","0.984",NA,NA
