"Vars","Estimate","stdError","p"
"Intercept","1596.37",1548.205,"0.306"
"drivingMinus9","-22.308",35.602,"0.533"
"walkingMinus9","-5.868",35.156,"0.868"
"transitMinus9","22.667",29.6,"0.446"
"anomalousWeekend","-121.603",784.414,"0.877"
"longWeekend","-671.837",761.547,"0.381"
"weekend","-1040.299",392.906,"0.01 *"
"casesTminus1","0.817",0.113,"<0.001 *"
"casesTminus2","0.125",0.12,"0.299"
"R2 Adjusted Training","0.922",NA,NA
"R2 Test","0.045",NA,NA
"RMSE Train","1281.229",NA,NA
"RMSE Test","855.697",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.521",NA,NA
