"Vars","Estimate","stdError","p"
"Intercept","94.973",29.122,"0.002 *"
"drivingMinus9","0.619",0.691,"0.373"
"walkingMinus9","-0.489",0.546,"0.374"
"transitMinus9","-0.951",0.411,"0.024 *"
"anomalousWeekend","-2.189",18.91,"0.908"
"longWeekend","-5.214",16.241,"0.749"
"weekend","-7.742",8.556,"0.369"
"casesTminus1","0.138",0.135,"0.31"
"casesTminus2","0.169",0.15,"0.264"
"R2 Adjusted Training","0.483",NA,NA
"R2 Test","0.101",NA,NA
"RMSE Train","28.072",NA,NA
"RMSE Test","29.313",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.259",NA,NA
