"Vars","Estimate","stdError","p"
"Intercept","62.476",12.295,"<0.001 *"
"drivingMinus9","-0.344",0.492,"0.487"
"walkingMinus9","0.166",0.483,"0.733"
"transitMinus9","-0.204",0.279,"0.466"
"anomalousWeekend","-1.29",9.825,"0.896"
"longWeekend","-8.469",8.539,"0.325"
"weekend","-13.492",4.654,"0.005 *"
"casesTminus1","-0.065",0.123,"0.602"
"casesTminus2","0.165",0.112,"0.144"
"R2 Adjusted Training","0.456",NA,NA
"R2 Test","0.217",NA,NA
"RMSE Train","14.528",NA,NA
"RMSE Test","14.252",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.499",NA,NA
