"Vars","Estimate","stdError","p"
"Intercept","-173.921",216.489,"0.423"
"sumDrivingMinus7_14","76.877",25.87,"0.003 *"
"sumWalkingMinus7_14","-43.698",18.952,"0.022 *"
"sumTransitMinus7_14","-38.272",9.401,"<0.001 *"
"anomalousWeekend","119.281",541.321,"0.826"
"longWeekend","-248.362",278.813,"0.374"
"weekend","-311.246",142.397,"0.03 *"
"casesTminus1","0.094",0.064,"0.144"
"casesTminus2","0.1",0.064,"0.122"
"R2 Adjusted Training","0.281",NA,NA
"R2 Test","0.005",NA,NA
"RMSE Train","965.196",NA,NA
"RMSE Test","500.619",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.55",NA,NA
