"Vars","Estimate","stdError","p"
"Intercept","-48.632",110.806,"0.661"
"sumDrivingMinus7_14","16.979",9.505,"0.075"
"sumWalkingMinus7_14","-5.532",6.216,"0.374"
"sumTransitMinus7_14","-11.388",4.158,"0.007 *"
"anomalousWeekend","-32.579",282.493,"0.908"
"longWeekend","-140.446",144.494,"0.332"
"weekend","60.135",74.059,"0.418"
"casesTminus1","0.318",0.063,"<0.001 *"
"casesTminus2","0.316",0.063,"<0.001 *"
"R2 Adjusted Training","0.625",NA,NA
"R2 Test","0.007",NA,NA
"RMSE Train","502.266",NA,NA
"RMSE Test","943.553",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.346",NA,NA
