"Vars","Estimate","stdError","p"
"Intercept","15.051",15.054,"0.318"
"sumDrivingMinus7_14","10.705",0.726,"<0.001 *"
"sumWalkingMinus7_14","-3.187",0.424,"<0.001 *"
"sumTransitMinus7_14","-6.744",0.771,"<0.001 *"
"R2 Adjusted Training","0.603",NA,NA
"R2 Test","0.168",NA,NA
"RMSE Train","101.863",NA,NA
"RMSE Test","503.377",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
