"Vars","Estimate","stdError","p"
"Intercept","13.063",21.285,"0.54"
"sumDrivingMinus7_14","-1.343",0.768,"0.082"
"sumWalkingMinus7_14","1.142",0.6,"0.058"
"sumTransitMinus7_14","0.013",0.424,"0.976"
"anomalousWeekend","7.405",52.848,"0.889"
"longWeekend","-23.228",26.926,"0.389"
"weekend","-38.619",13.864,"0.006 *"
"casesTminus1","0.574",0.062,"<0.001 *"
"casesTminus2","0.419",0.065,"<0.001 *"
"R2 Adjusted Training","0.834",NA,NA
"R2 Test","0.369",NA,NA
"RMSE Train","93.451",NA,NA
"RMSE Test","515.37",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.241",NA,NA
