"Vars","Estimate","stdError","p"
"Intercept","12.258",5.448,"0.025 *"
"sumDrivingMinus7_14","-0.214",0.148,"0.149"
"sumWalkingMinus7_14","0.084",0.489,"0.864"
"sumTransitMinus7_14","0.209",0.421,"0.621"
"anomalousWeekend","-8.699",13.8,"0.529"
"longWeekend","-2.163",6.658,"0.746"
"weekend","-3.104",3.695,"0.402"
"casesTminus1","1.063",0.066,"<0.001 *"
"casesTminus2","-0.053",0.069,"0.437"
"R2 Adjusted Training","0.942",NA,NA
"R2 Test","0.696",NA,NA
"RMSE Train","25.071",NA,NA
"RMSE Test","139.587",NA,NA
"RMSPE Train","1.012",NA,NA
"RMSPE Test","0.143",NA,NA
