"Vars","Estimate","stdError","p"
"Intercept","-11.664",14.191,"0.413"
"sumDrivingMinus7_14","5.279",2.442,"0.032 *"
"sumWalkingMinus7_14","-1.957",2.02,"0.334"
"sumTransitMinus7_14","-2.38",0.383,"<0.001 *"
"R2 Adjusted Training","0.508",NA,NA
"R2 Test","0.057",NA,NA
"RMSE Train","63.766",NA,NA
"RMSE Test","188.865",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.457",NA,NA
