"Vars","Estimate","stdError","p"
"Intercept","36.492",151.532,"0.81"
"sumDrivingMinus7_14","1.149",7.282,"0.875"
"sumWalkingMinus7_14","1.481",7.403,"0.842"
"sumTransitMinus7_14","-2.244",3.76,"0.551"
"anomalousWeekend","-28.671",296.739,"0.923"
"longWeekend","137.071",152.299,"0.369"
"weekend","-61.178",77.889,"0.433"
"casesTminus1","0.575",0.061,"<0.001 *"
"casesTminus2","0.365",0.061,"<0.001 *"
"R2 Adjusted Training","0.87",NA,NA
"R2 Test","0.034",NA,NA
"RMSE Train","530.801",NA,NA
"RMSE Test","809.241",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.465",NA,NA
