"Vars","Estimate","stdError","p"
"Intercept","-9.406",26.323,"0.721"
"sumDrivingMinus7_14","8.786",1.954,"<0.001 *"
"sumWalkingMinus7_14","-4.72",1.382,"0.001 *"
"sumTransitMinus7_14","-2.773",0.568,"<0.001 *"
"anomalousWeekend","0.9",61.782,"0.988"
"longWeekend","34.225",31.648,"0.281"
"weekend","-46.692",16.537,"0.005 *"
"casesTminus1","0.351",0.065,"<0.001 *"
"casesTminus2","-0.024",0.064,"0.713"
"R2 Adjusted Training","0.52",NA,NA
"R2 Test","0.164",NA,NA
"RMSE Train","110.277",NA,NA
"RMSE Test","236.08",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.891",NA,NA
