"Vars","Estimate","stdError","p"
"Intercept","-22.008",41.512,"0.596"
"sumDrivingMinus7_14","8.885",3.71,"0.017 *"
"sumWalkingMinus7_14","-7.068",3.263,"0.031 *"
"sumTransitMinus7_14","-2.105",1.003,"0.037 *"
"anomalousWeekend","-7.026",94.624,"0.941"
"longWeekend","18.716",49.889,"0.708"
"weekend","-29.693",25.128,"0.239"
"casesTminus1","0.546",0.063,"<0.001 *"
"casesTminus2","0.313",0.062,"<0.001 *"
"R2 Adjusted Training","0.814",NA,NA
"R2 Test","0.026",NA,NA
"RMSE Train","169.224",NA,NA
"RMSE Test","184.29",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.291",NA,NA
