"Vars","Estimate","stdError","p"
"Intercept","11.627",9.792,"0.236"
"sumDrivingMinus7_14","0.929",0.809,"0.252"
"sumWalkingMinus7_14","-0.556",0.584,"0.342"
"sumTransitMinus7_14","-0.421",0.303,"0.167"
"anomalousWeekend","3.348",25.155,"0.894"
"longWeekend","12.791",12.965,"0.325"
"weekend","-28.942",6.729,"<0.001 *"
"casesTminus1","0.422",0.057,"<0.001 *"
"casesTminus2","0.454",0.059,"<0.001 *"
"R2 Adjusted Training","0.717",NA,NA
"R2 Test","0.765",NA,NA
"RMSE Train","44.979",NA,NA
"RMSE Test","225.486",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.243",NA,NA
