"Vars","Estimate","stdError","p"
"Intercept","18.259",12.671,"0.151"
"sumDrivingMinus7_14","3.031",0.829,"<0.001 *"
"sumWalkingMinus7_14","-0.916",0.381,"0.017 *"
"sumTransitMinus7_14","-1.743",0.731,"0.018 *"
"anomalousWeekend","-9.903",42.491,"0.816"
"longWeekend","7.134",22.67,"0.753"
"weekend","-34.219",11.4,"0.003 *"
"casesTminus1","0.551",0.064,"<0.001 *"
"casesTminus2","0.154",0.063,"0.015 *"
"R2 Adjusted Training","0.774",NA,NA
"R2 Test","0.029",NA,NA
"RMSE Train","76.913",NA,NA
"RMSE Test","514.493",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
