"Vars","Estimate","stdError","p"
"Intercept","375.358",239.206,"0.121"
"drivingMinus8","5.893",8.168,"0.473"
"walkingMinus8","2.227",3.574,"0.535"
"transitMinus8","-11.682",6.339,"0.069"
"anomalousWeekend","44.36",224.463,"0.844"
"longWeekend","-72.4",214.966,"0.737"
"weekend","-353.991",121.131,"0.005 *"
"casesTminus1","0.215",0.101,"0.037 *"
"casesTminus2","0.529",0.1,"<0.001 *"
"R2 Adjusted Training","0.843",NA,NA
"R2 Test","0.596",NA,NA
"RMSE Train","373.805",NA,NA
"RMSE Test","501.322",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.512",NA,NA
