"Vars","Estimate","stdError","p"
"Intercept","186.848",47.556,"<0.001 *"
"drivingMinus8","1.9",1.49,"0.206"
"walkingMinus8","-0.334",0.835,"0.69"
"transitMinus8","-3.342",1.194,"0.007 *"
"anomalousWeekend","38.716",45.071,"0.393"
"longWeekend","-14.872",38.558,"0.701"
"weekend","-57.167",21.295,"0.009 *"
"casesTminus1","0.258",0.118,"0.032 *"
"casesTminus2","0.146",0.122,"0.235"
"R2 Adjusted Training","0.716",NA,NA
"R2 Test","0.498",NA,NA
"RMSE Train","66.342",NA,NA
"RMSE Test","72.401",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.837",NA,NA
