"Vars","Estimate","stdError","p"
"Intercept","83.433",9.165,"<0.001 *"
"drivingMinus8","-1.495",0.414,"0.001 *"
"walkingMinus8","0.342",0.295,"0.251"
"transitMinus8","0.475",0.154,"0.003 *"
"R2 Adjusted Training","0.429",NA,NA
"R2 Test","0.016",NA,NA
"RMSE Train","17.036",NA,NA
"RMSE Test","33.929",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.303",NA,NA
