"Vars","Estimate","stdError","p"
"Intercept","164.508",68.692,"0.019 *"
"drivingMinus8","-0.905",1.111,"0.418"
"walkingMinus8","-1.262",0.969,"0.197"
"transitMinus8","1.808",1.219,"0.142"
"anomalousWeekend","-0.753",38.302,"0.984"
"longWeekend","-51.977",38.295,"0.179"
"weekend","14.299",21.74,"0.513"
"casesTminus1","0.307",0.116,"0.01 *"
"casesTminus2","0.267",0.12,"0.029 *"
"R2 Adjusted Training","0.538",NA,NA
"R2 Test","0.168",NA,NA
"RMSE Train","66.176",NA,NA
"RMSE Test","41.157",NA,NA
"RMSPE Train","1.222",NA,NA
"RMSPE Test","0.415",NA,NA
