"Vars","Estimate","stdError","p"
"Intercept","66.578",13.216,"<0.001 *"
"drivingMinus8","-1.399",0.413,"0.001 *"
"walkingMinus8","0.376",0.281,"0.186"
"transitMinus8","0.471",0.16,"0.004 *"
"anomalousWeekend","4.897",9.138,"0.594"
"longWeekend","12.231",8.893,"0.173"
"weekend","1.848",4.661,"0.693"
"casesTminus1","-0.058",0.103,"0.577"
"casesTminus2","0.325",0.097,"0.001 *"
"R2 Adjusted Training","0.532",NA,NA
"R2 Test","0.174",NA,NA
"RMSE Train","15.422",NA,NA
"RMSE Test","30.759",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.974",NA,NA
