"Vars","Estimate","stdError","p"
"Intercept","138.288",44.04,"0.003 *"
"drivingMinus8","1.127",0.943,"0.237"
"walkingMinus8","-0.555",0.66,"0.403"
"transitMinus8","-1.751",0.68,"0.012 *"
"anomalousWeekend","-20.051",30.636,"0.515"
"longWeekend","-0.744",27.433,"0.978"
"weekend","26.734",15.167,"0.083"
"casesTminus1","0.062",0.124,"0.617"
"casesTminus2","0.014",0.124,"0.91"
"R2 Adjusted Training","0.305",NA,NA
"R2 Test","0.109",NA,NA
"RMSE Train","47.385",NA,NA
"RMSE Test","68.435",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.415",NA,NA
