"Vars","Estimate","stdError","p"
"Intercept","75.097",26.063,"0.005 *"
"drivingMinus8","-0.902",0.551,"0.107"
"walkingMinus8","0.202",0.381,"0.598"
"transitMinus8","0.111",0.513,"0.83"
"anomalousWeekend","2.349",22.018,"0.915"
"longWeekend","-11.659",15.16,"0.445"
"weekend","-12.261",10.557,"0.25"
"casesTminus1","0.265",0.127,"0.041 *"
"casesTminus2","0.13",0.139,"0.354"
"R2 Adjusted Training","0.424",NA,NA
"R2 Test","0.006",NA,NA
"RMSE Train","26.384",NA,NA
"RMSE Test","21.014",NA,NA
"RMSPE Train","2.216",NA,NA
"RMSPE Test","0.68",NA,NA
