"city","date","weekNum","case.rate","casesTminus1.rate","casesTminus2.rate","testingNearMe","testingNearMeTminus1"
"Houston",2022-01-09,98,2392.11,1929.75,692,NA,NA
"Indianapolis",2020-03-01,1,0.19,NA,NA,NA,NA
"Indianapolis",2020-03-08,2,0.41,0.19,NA,NA,NA
"Indianapolis",2020-03-15,3,3.18,0.41,0.19,2,NA
"Indianapolis",2020-03-22,4,35.43,3.18,0.41,4,2
"Indianapolis",2020-03-29,5,78.91,35.43,3.18,6,4
"Indianapolis",2020-04-05,6,97.27,78.91,35.43,2,6
"Indianapolis",2020-04-12,7,71.58,97.27,78.91,2,2
"Indianapolis",2020-04-19,8,88.45,71.58,97.27,5,2
"Indianapolis",2020-04-26,9,90.77,88.45,71.58,5,5
"Indianapolis",2020-05-03,10,95.73,90.77,88.45,7,5
"Indianapolis",2020-05-10,11,74.09,95.73,90.77,8,7
"Indianapolis",2020-05-17,12,65.36,74.09,95.73,7,8
"Indianapolis",2020-05-24,13,51.19,65.36,74.09,5,7
"Indianapolis",2020-05-31,14,36.92,51.19,65.36,9,5
"Indianapolis",2020-06-07,15,28.44,36.92,51.19,7,9
"Indianapolis",2020-06-14,16,26.83,28.44,36.92,4,7
"Indianapolis",2020-06-21,17,24.34,26.83,28.44,12,4
"Indianapolis",2020-06-28,18,33.26,24.34,26.83,21,12
"Indianapolis",2020-07-05,19,45.07,33.26,24.34,34,21
"Indianapolis",2020-07-12,20,55.48,45.07,33.26,29,34
"Indianapolis",2020-07-19,21,81.46,55.48,45.07,29,29
"Indianapolis",2020-07-26,22,86.04,81.46,55.48,27,29
"Indianapolis",2020-08-02,23,98.05,86.04,81.46,26,27
"Indianapolis",2020-08-09,24,90.14,98.05,86.04,33,26
"Indianapolis",2020-08-16,25,79.87,90.14,98.05,19,33
"Indianapolis",2020-08-23,26,91.68,79.87,90.14,14,19
"Indianapolis",2020-08-30,27,82.52,91.68,79.87,24,14
"Indianapolis",2020-09-06,28,59.68,82.52,91.68,18,24
"Indianapolis",2020-09-13,29,82.38,59.68,82.52,16,18
"Indianapolis",2020-09-20,30,67.15,82.38,59.68,24,16
"Indianapolis",2020-09-27,31,77.17,67.15,82.38,20,24
"Indianapolis",2020-10-04,32,95.35,77.17,67.15,37,20
"Indianapolis",2020-10-11,33,125.96,95.35,77.17,35,37
"Indianapolis",2020-10-18,34,150.06,125.96,95.35,31,35
"Indianapolis",2020-10-25,35,195.42,150.06,125.96,39,31
"Indianapolis",2020-11-01,36,288.69,195.42,150.06,52,39
"Indianapolis",2020-11-08,37,466.42,288.69,195.42,99,52
"Indianapolis",2020-11-15,38,549.09,466.42,288.69,100,99
"Indianapolis",2020-11-22,39,553.09,549.09,466.42,72,100
"Indianapolis",2020-11-29,40,670.22,553.09,549.09,76,72
"Indianapolis",2020-12-06,41,691.29,670.22,553.09,56,76
"Indianapolis",2020-12-13,42,621.73,691.29,670.22,60,56
"Indianapolis",2020-12-20,43,546.39,621.73,691.29,60,60
"Indianapolis",2020-12-27,44,505.32,546.39,621.73,55,60
"Indianapolis",2021-01-03,45,574.06,505.32,546.39,45,55
"Indianapolis",2021-01-10,46,441.26,574.06,505.32,47,45
"Indianapolis",2021-01-17,47,344.22,441.26,574.06,40,47
"Indianapolis",2021-01-24,48,243.52,344.22,441.26,17,40
"Indianapolis",2021-01-31,49,187.22,243.52,344.22,30,17
"Indianapolis",2021-02-07,50,135.84,187.22,243.52,25,30
"Indianapolis",2021-02-14,51,92.02,135.84,187.22,17,25
"Indianapolis",2021-02-21,52,83.34,92.02,135.84,10,17
"Indianapolis",2021-02-28,53,86.48,83.34,92.02,15,10
"Indianapolis",2021-03-07,54,68.26,86.48,83.34,8,15
"Indianapolis",2021-03-14,55,69.61,68.26,86.48,NA,8
"Indianapolis",2021-03-21,56,77.08,69.61,68.26,NA,NA
"Indianapolis",2021-03-28,57,91.2,77.08,69.61,NA,NA
"Indianapolis",2021-04-04,58,108.36,91.2,77.08,NA,NA
"Indianapolis",2021-04-11,59,118.58,108.36,91.2,NA,NA
"Indianapolis",2021-04-18,60,93.95,118.58,108.36,NA,NA
"Indianapolis",2021-04-25,61,106.14,93.95,118.58,NA,NA
"Indianapolis",2021-05-02,62,106.58,106.14,93.95,NA,NA
"Indianapolis",2021-05-09,63,81.46,106.58,106.14,NA,NA
"Indianapolis",2021-05-16,64,68.26,81.46,106.58,NA,NA
"Indianapolis",2021-05-23,65,55.58,68.26,81.46,NA,NA
"Indianapolis",2021-05-30,66,75.46,55.58,68.26,NA,NA
"Indianapolis",2021-06-06,67,36.9,75.46,55.58,NA,NA
"Indianapolis",2021-06-13,68,34.15,36.9,75.46,NA,NA
"Indianapolis",2021-06-20,69,18.37,34.15,36.9,NA,NA
"Indianapolis",2021-06-27,70,23.57,18.37,34.15,NA,NA
"Indianapolis",2021-07-04,71,29.67,23.57,18.37,NA,NA
"Indianapolis",2021-07-11,72,45.89,29.67,23.57,NA,NA
"Indianapolis",2021-07-18,73,65.85,45.89,29.67,NA,NA
"Indianapolis",2021-07-25,74,99.64,65.85,45.89,NA,NA
"Indianapolis",2021-08-01,75,151.36,99.64,65.85,NA,NA
"Indianapolis",2021-08-08,76,223.23,151.36,99.64,NA,NA
"Indianapolis",2021-08-15,77,289.7,223.23,151.36,NA,NA
"Indianapolis",2021-08-22,78,384.52,289.7,223.23,NA,NA
"Indianapolis",2021-08-29,79,408.81,384.52,289.7,NA,NA
"Indianapolis",2021-09-05,80,366.37,408.81,384.52,NA,NA
"Indianapolis",2021-09-12,81,361.91,366.37,408.81,NA,NA
"Indianapolis",2021-09-19,82,296.55,361.91,366.37,NA,NA
"Indianapolis",2021-09-26,83,239.48,296.55,361.91,NA,NA
"Indianapolis",2021-10-03,84,207.28,239.48,296.55,NA,NA
"Indianapolis",2021-10-10,85,171.89,207.28,239.48,NA,NA
"Indianapolis",2021-10-17,86,138.05,171.89,207.28,NA,NA
"Indianapolis",2021-10-24,87,124.7,138.05,171.89,NA,NA
"Indianapolis",2021-10-31,88,135.02,124.7,138.05,NA,NA
"Indianapolis",2021-11-07,89,227.76,135.02,124.7,NA,NA
"Indianapolis",2021-11-14,90,241.64,227.76,135.02,NA,NA
"Indianapolis",2021-11-21,91,186.02,241.64,227.76,NA,NA
"Indianapolis",2021-11-28,92,410.55,186.02,241.64,NA,NA
"Indianapolis",2021-12-05,93,404.52,410.55,186.02,NA,NA
"Indianapolis",2021-12-12,94,410.45,404.52,410.55,NA,NA
"Indianapolis",2021-12-19,95,287.68,410.45,404.52,NA,NA
"Indianapolis",2021-12-26,96,802.23,287.68,410.45,NA,NA
"Indianapolis",2022-01-02,97,1500.14,802.23,287.68,NA,NA
"Indianapolis",2022-01-09,98,1618,1500.14,802.23,NA,NA
"Los Angeles",2020-03-01,1,0.13,NA,NA,NA,NA
"Los Angeles",2020-03-08,2,0.38,0.13,NA,NA,NA
"Los Angeles",2020-03-15,3,2.74,0.38,0.13,3,NA
"Los Angeles",2020-03-22,4,12.83,2.74,0.38,3,3
"Los Angeles",2020-03-29,5,29.8,12.83,2.74,2,3
"Los Angeles",2020-04-05,6,30.5,29.8,12.83,4,2
"Los Angeles",2020-04-12,7,26.36,30.5,29.8,2,4
"Los Angeles",2020-04-19,8,56.75,26.36,30.5,4,2
"Los Angeles",2020-04-26,9,49.02,56.75,26.36,6,4
"Los Angeles",2020-05-03,10,53.26,49.02,56.75,5,6
"Los Angeles",2020-05-10,11,52.91,53.26,49.02,5,5
"Los Angeles",2020-05-17,12,57.72,52.91,53.26,5,5
"Los Angeles",2020-05-24,13,80.33,57.72,52.91,6,5
"Los Angeles",2020-05-31,14,74.93,80.33,57.72,7,6
"Los Angeles",2020-06-07,15,81.23,74.93,80.33,7,7
"Los Angeles",2020-06-14,16,84.46,81.23,74.93,9,7
"Los Angeles",2020-06-21,17,124.15,84.46,81.23,33,9
"Los Angeles",2020-06-28,18,183.78,124.15,84.46,50,33
"Los Angeles",2020-07-05,19,163.59,183.78,124.15,42,50
"Los Angeles",2020-07-12,20,212.78,163.59,183.78,28,42
"Los Angeles",2020-07-19,21,183.32,212.78,163.59,16,28
"Los Angeles",2020-07-26,22,160.79,183.32,212.78,15,16
"Los Angeles",2020-08-02,23,138.56,160.79,183.32,14,15
"Los Angeles",2020-08-09,24,138.42,138.56,160.79,12,14
"Los Angeles",2020-08-16,25,93.33,138.42,138.56,10,12
"Los Angeles",2020-08-23,26,86.9,93.33,138.42,8,10
"Los Angeles",2020-08-30,27,76.39,86.9,93.33,11,8
"Los Angeles",2020-09-06,28,53.51,76.39,86.9,8,11
"Los Angeles",2020-09-13,29,59.54,53.51,76.39,9,8
"Los Angeles",2020-09-20,30,64.59,59.54,53.51,11,9
"Los Angeles",2020-09-27,31,60.73,64.59,59.54,14,11
"Los Angeles",2020-10-04,32,66.96,60.73,64.59,15,14
"Los Angeles",2020-10-11,33,62,66.96,60.73,12,15
"Los Angeles",2020-10-18,34,94.88,62,66.96,17,12
"Los Angeles",2020-10-25,35,78.19,94.88,62,18,17
"Los Angeles",2020-11-01,36,108.91,78.19,94.88,16,18
"Los Angeles",2020-11-08,37,148.03,108.91,78.19,24,16
"Los Angeles",2020-11-15,38,226.69,148.03,108.91,46,24
"Los Angeles",2020-11-22,39,277.64,226.69,148.03,58,46
"Los Angeles",2020-11-29,40,428.57,277.64,226.69,61,58
"Los Angeles",2020-12-06,41,666.2,428.57,277.64,84,61
"Los Angeles",2020-12-13,42,892.98,666.2,428.57,100,84
"Los Angeles",2020-12-20,43,933.96,892.98,666.2,95,100
"Los Angeles",2020-12-27,44,916.96,933.96,892.98,93,95
"Los Angeles",2021-01-03,45,947.82,916.96,933.96,75,93
"Los Angeles",2021-01-10,46,932.86,947.82,916.96,46,75
"Los Angeles",2021-01-17,47,559.09,932.86,947.82,35,46
"Los Angeles",2021-01-24,48,426.56,559.09,932.86,22,35
"Los Angeles",2021-01-31,49,294.3,426.56,559.09,20,22
"Los Angeles",2021-02-07,50,202.86,294.3,426.56,15,20
"Los Angeles",2021-02-14,51,127.28,202.86,294.3,12,15
"Los Angeles",2021-02-21,52,105.33,127.28,202.86,13,12
"Los Angeles",2021-02-28,53,94.74,105.33,127.28,11,13
"Los Angeles",2021-03-07,54,67.17,94.74,105.33,12,11
"Los Angeles",2021-03-14,55,38.53,67.17,94.74,NA,12
"Los Angeles",2021-03-21,56,37.69,38.53,67.17,NA,NA
"Los Angeles",2021-03-28,57,37.96,37.69,38.53,NA,NA
"Los Angeles",2021-04-04,58,36.66,37.96,37.69,NA,NA
"Los Angeles",2021-04-11,59,31.95,36.66,37.96,NA,NA
"Los Angeles",2021-04-18,60,24.82,31.95,36.66,NA,NA
"Los Angeles",2021-04-25,61,22.47,24.82,31.95,NA,NA
"Los Angeles",2021-05-02,62,18.52,22.47,24.82,NA,NA
"Los Angeles",2021-05-09,63,17.41,18.52,22.47,NA,NA
"Los Angeles",2021-05-16,64,13.38,17.41,18.52,NA,NA
"Los Angeles",2021-05-23,65,42.21,13.38,17.41,NA,NA
"Los Angeles",2021-05-30,66,11.4,42.21,13.38,NA,NA
"Los Angeles",2021-06-06,67,11.31,11.4,42.21,NA,NA
"Los Angeles",2021-06-13,68,11.43,11.31,11.4,NA,NA
"Los Angeles",2021-06-20,69,15.19,11.43,11.31,NA,NA
"Los Angeles",2021-06-27,70,24.93,15.19,11.43,NA,NA
"Los Angeles",2021-07-04,71,38.34,24.93,15.19,NA,NA
"Los Angeles",2021-07-11,72,82.85,38.34,24.93,NA,NA
"Los Angeles",2021-07-18,73,143.01,82.85,38.34,NA,NA
"Los Angeles",2021-07-25,74,168.52,143.01,82.85,NA,NA
"Los Angeles",2021-08-01,75,213.91,168.52,143.01,NA,NA
"Los Angeles",2021-08-08,76,218.29,213.91,168.52,NA,NA
"Los Angeles",2021-08-15,77,296.89,218.29,213.91,NA,NA
"Los Angeles",2021-08-22,78,190.23,296.89,218.29,NA,NA
"Los Angeles",2021-08-29,79,149.51,190.23,296.89,NA,NA
"Los Angeles",2021-09-05,80,106.26,149.51,190.23,NA,NA
"Los Angeles",2021-09-12,81,138.67,106.26,149.51,NA,NA
"Los Angeles",2021-09-19,82,97.44,138.67,106.26,NA,NA
"Los Angeles",2021-09-26,83,92.71,97.44,138.67,NA,NA
"Los Angeles",2021-10-03,84,71.63,92.71,97.44,NA,NA
"Los Angeles",2021-10-10,85,65.04,71.63,92.71,NA,NA
"Los Angeles",2021-10-17,86,67.71,65.04,71.63,NA,NA
"Los Angeles",2021-10-24,87,74.7,67.71,65.04,NA,NA
"Los Angeles",2021-10-31,88,86.15,74.7,67.71,NA,NA
"Los Angeles",2021-11-07,89,81.65,86.15,74.7,NA,NA
"Los Angeles",2021-11-14,90,76.09,81.65,86.15,NA,NA
"Los Angeles",2021-11-21,91,55.09,76.09,81.65,NA,NA
"Los Angeles",2021-11-28,92,91.97,55.09,76.09,NA,NA
"Los Angeles",2021-12-05,93,102.19,91.97,55.09,NA,NA
"Los Angeles",2021-12-12,94,130.47,102.19,91.97,NA,NA
"Los Angeles",2021-12-19,95,291.96,130.47,102.19,NA,NA
"Los Angeles",2021-12-26,96,876.36,291.96,130.47,NA,NA
"Los Angeles",2022-01-02,97,1997.19,876.36,291.96,NA,NA
"Los Angeles",2022-01-09,98,2675.82,1997.19,876.36,NA,NA
"Louisville",2020-03-01,1,0.28,NA,NA,NA,NA
"Louisville",2020-03-08,2,0.47,0.28,NA,NA,NA
"Louisville",2020-03-15,3,2.37,0.47,0.28,0,NA
"Louisville",2020-03-22,4,9.01,2.37,0.47,4,0
"Louisville",2020-03-29,5,24.9,9.01,2.37,0,4
"Louisville",2020-04-05,6,30.99,24.9,9.01,2,0
"Louisville",2020-04-12,7,26.48,30.99,24.9,7,2
"Louisville",2020-04-19,8,46.08,26.48,30.99,5,7
"Louisville",2020-04-26,9,35.02,46.08,26.48,9,5
"Louisville",2020-05-03,10,34.38,35.02,46.08,4,9
"Louisville",2020-05-10,11,35.45,34.38,35.02,7,4
"Louisville",2020-05-17,12,35.17,35.45,34.38,6,7
"Louisville",2020-05-24,13,38.57,35.17,35.45,4,6
"Louisville",2020-05-31,14,50.27,38.57,35.17,2,4
"Louisville",2020-06-07,15,30.51,50.27,38.57,0,2
"Louisville",2020-06-14,16,31.06,30.51,50.27,14,0
"Louisville",2020-06-21,17,29.8,31.06,30.51,6,14
"Louisville",2020-06-28,18,27.11,29.8,31.06,43,6
"Louisville",2020-07-05,19,59.99,27.11,29.8,31,43
"Louisville",2020-07-12,20,62.68,59.99,27.11,25,31
"Louisville",2020-07-19,21,135.09,62.68,59.99,21,25
"Louisville",2020-07-26,22,118.25,135.09,62.68,43,21
"Louisville",2020-08-02,23,133.03,118.25,135.09,26,43
"Louisville",2020-08-09,24,166.07,133.03,118.25,18,26
"Louisville",2020-08-16,25,153.82,166.07,133.03,13,18
"Louisville",2020-08-23,26,133.66,153.82,166.07,35,13
"Louisville",2020-08-30,27,202.2,133.66,153.82,16,35
"Louisville",2020-09-06,28,82.6,202.2,133.66,8,16
"Louisville",2020-09-13,29,110.43,82.6,202.2,21,8
"Louisville",2020-09-20,30,117.78,110.43,82.6,36,21
"Louisville",2020-09-27,31,136.75,117.78,110.43,44,36
"Louisville",2020-10-04,32,145.05,136.75,117.78,40,44
"Louisville",2020-10-11,33,182.67,145.05,136.75,34,40
"Louisville",2020-10-18,34,212.79,182.67,145.05,69,34
"Louisville",2020-10-25,35,275.87,212.79,182.67,49,69
"Louisville",2020-11-01,36,288.51,275.87,212.79,83,49
"Louisville",2020-11-08,37,408.11,288.51,275.87,100,83
"Louisville",2020-11-15,38,451.5,408.11,288.51,84,100
"Louisville",2020-11-22,39,457.75,451.5,408.11,61,84
"Louisville",2020-11-29,40,500.67,457.75,451.5,58,61
"Louisville",2020-12-06,41,485.73,500.67,457.75,54,58
"Louisville",2020-12-13,42,413.96,485.73,500.67,55,54
"Louisville",2020-12-20,43,348.27,413.96,485.73,39,55
"Louisville",2020-12-27,44,422.02,348.27,413.96,69,39
"Louisville",2021-01-03,45,546.99,422.02,348.27,48,69
"Louisville",2021-01-10,46,541.46,546.99,422.02,44,48
"Louisville",2021-01-17,47,501.54,541.46,546.99,23,44
"Louisville",2021-01-24,48,340.96,501.54,541.46,21,23
"Louisville",2021-01-31,49,302.5,340.96,501.54,19,21
"Louisville",2021-02-07,50,230.97,302.5,340.96,21,19
"Louisville",2021-02-14,51,169,230.97,302.5,19,21
"Louisville",2021-02-21,52,142.99,169,230.97,10,19
"Louisville",2021-02-28,53,127.58,142.99,169,14,10
"Louisville",2021-03-07,54,103.15,127.58,142.99,11,14
"Louisville",2021-03-14,55,105.92,103.15,127.58,NA,11
"Louisville",2021-03-21,56,85.29,105.92,103.15,NA,NA
"Louisville",2021-03-28,57,78.02,85.29,105.92,NA,NA
"Louisville",2021-04-04,58,77.31,78.02,85.29,NA,NA
"Louisville",2021-04-11,59,102.44,77.31,78.02,NA,NA
"Louisville",2021-04-18,60,68.61,102.44,77.31,NA,NA
"Louisville",2021-04-25,61,100.62,68.61,102.44,NA,NA
"Louisville",2021-05-02,62,86.87,100.62,68.61,NA,NA
"Louisville",2021-05-09,63,57.39,86.87,100.62,NA,NA
"Louisville",2021-05-16,64,55.09,57.39,86.87,NA,NA
"Louisville",2021-05-23,65,39.44,55.09,57.39,NA,NA
"Louisville",2021-05-30,66,12.69,39.44,55.09,NA,NA
"Louisville",2021-06-06,67,13,12.69,39.44,NA,NA
"Louisville",2021-06-13,68,15.49,13,12.69,NA,NA
"Louisville",2021-06-20,69,7.39,15.49,13,NA,NA
"Louisville",2021-06-27,70,12.41,7.39,15.49,NA,NA
"Louisville",2021-07-04,71,21.22,12.41,7.39,NA,NA
"Louisville",2021-07-11,72,46.56,21.22,12.41,NA,NA
"Louisville",2021-07-18,73,78.49,46.56,21.22,NA,NA
"Louisville",2021-07-25,74,140.15,78.49,46.56,NA,NA
"Louisville",2021-08-01,75,220.93,140.15,78.49,NA,NA
"Louisville",2021-08-08,76,305.94,220.93,140.15,NA,NA
"Louisville",2021-08-15,77,411.66,305.94,220.93,NA,NA
"Louisville",2021-08-22,78,501.26,411.66,305.94,NA,NA
"Louisville",2021-08-29,79,522.17,501.26,411.66,NA,NA
"Louisville",2021-09-05,80,443.8,522.17,501.26,NA,NA
"Louisville",2021-09-12,81,435.3,443.8,522.17,NA,NA
"Louisville",2021-09-19,82,366.41,435.3,443.8,NA,NA
"Louisville",2021-09-26,83,468.62,366.41,435.3,NA,NA
"Louisville",2021-10-03,84,253.26,468.62,366.41,NA,NA
"Louisville",2021-10-10,85,249.78,253.26,468.62,NA,NA
"Louisville",2021-10-17,86,192.39,249.78,253.26,NA,NA
"Louisville",2021-10-24,87,181.64,192.39,249.78,NA,NA
"Louisville",2021-10-31,88,152.32,181.64,192.39,NA,NA
"Louisville",2021-11-07,89,175.4,152.32,181.64,NA,NA
"Louisville",2021-11-14,90,179.83,175.4,152.32,NA,NA
"Louisville",2021-11-21,91,157.38,179.83,175.4,NA,NA
"Louisville",2021-11-28,92,321.63,157.38,179.83,NA,NA
"Louisville",2021-12-05,93,305.82,321.63,157.38,NA,NA
"Louisville",2021-12-12,94,285.35,305.82,321.63,NA,NA
"Louisville",2021-12-19,95,253.61,285.35,305.82,NA,NA
"Louisville",2021-12-26,96,947.82,253.61,285.35,NA,NA
"Louisville",2022-01-02,97,1650.61,947.82,253.61,NA,NA
"Louisville",2022-01-09,98,1567.69,1650.61,947.82,NA,NA
"Memphis",2020-03-01,1,0.26,NA,NA,NA,NA
"Memphis",2020-03-08,2,0.33,0.26,NA,NA,NA
"Memphis",2020-03-15,3,4.57,0.33,0.26,7,NA
"Memphis",2020-03-22,4,24.74,4.57,0.33,17,7
"Memphis",2020-03-29,5,42.42,24.74,4.57,10,17
"Memphis",2020-04-05,6,43.01,42.42,24.74,3,10
"Memphis",2020-04-12,7,55.2,43.01,42.42,23,3
"Memphis",2020-04-19,8,36.03,55.2,43.01,10,23
"Memphis",2020-04-26,9,49.4,36.03,55.2,10,10
"Memphis",2020-05-03,10,49.55,49.4,36.03,3,10
"Memphis",2020-05-10,11,62.93,49.55,49.4,10,3
"Memphis",2020-05-17,12,53.19,62.93,49.55,24,10
"Memphis",2020-05-24,13,71.17,53.19,62.93,14,24
"Memphis",2020-05-31,14,82.54,71.17,53.19,3,14
"Memphis",2020-06-07,15,75.18,82.54,71.17,10,3
"Memphis",2020-06-14,16,107.43,75.18,82.54,14,10
"Memphis",2020-06-21,17,160.77,107.43,75.18,54,14
"Memphis",2020-06-28,18,229.71,160.77,107.43,52,54
"Memphis",2020-07-05,19,189.44,229.71,160.77,66,52
"Memphis",2020-07-12,20,269.16,189.44,229.71,89,66
"Memphis",2020-07-19,21,246.95,269.16,189.44,33,89
"Memphis",2020-07-26,22,302.74,246.95,269.16,30,33
"Memphis",2020-08-02,23,206.09,302.74,246.95,37,30
"Memphis",2020-08-09,24,168.27,206.09,302.74,29,37
"Memphis",2020-08-16,25,149.1,168.27,206.09,7,29
"Memphis",2020-08-23,26,144.5,149.1,168.27,10,7
"Memphis",2020-08-30,27,109.36,144.5,149.1,24,10
"Memphis",2020-09-06,28,104.16,109.36,144.5,25,24
"Memphis",2020-09-13,29,136.33,104.16,109.36,24,25
"Memphis",2020-09-20,30,109.36,136.33,104.16,24,24
"Memphis",2020-09-27,31,93.31,109.36,136.33,22,24
"Memphis",2020-10-04,32,133.28,93.31,109.36,37,22
"Memphis",2020-10-11,33,153.19,133.28,93.31,53,37
"Memphis",2020-10-18,34,229.71,153.19,133.28,63,53
"Memphis",2020-10-25,35,223.47,229.71,153.19,60,63
"Memphis",2020-11-01,36,211.06,223.47,229.71,30,60
"Memphis",2020-11-08,37,328.3,211.06,223.47,63,30
"Memphis",2020-11-15,38,345.53,328.3,211.06,92,63
"Memphis",2020-11-22,39,303.78,345.53,328.3,96,92
"Memphis",2020-11-29,40,380.75,303.78,345.53,100,96
"Memphis",2020-12-06,41,415.29,380.75,303.78,48,100
"Memphis",2020-12-13,42,636.46,415.29,380.75,68,48
"Memphis",2020-12-20,43,449.09,636.46,415.29,60,68
"Memphis",2020-12-27,44,566.47,449.09,636.46,92,60
"Memphis",2021-01-03,45,475.62,566.47,449.09,62,92
"Memphis",2021-01-10,46,399.1,475.62,566.47,37,62
"Memphis",2021-01-17,47,327.92,399.1,475.62,33,37
"Memphis",2021-01-24,48,297.39,327.92,399.1,40,33
"Memphis",2021-01-31,49,228.67,297.39,327.92,44,40
"Memphis",2021-02-07,50,179.12,228.67,297.39,14,44
"Memphis",2021-02-14,51,91.6,179.12,228.67,15,14
"Memphis",2021-02-21,52,120.8,91.6,179.12,18,15
"Memphis",2021-02-28,53,91.23,120.8,91.6,11,18
"Memphis",2021-03-07,54,56.02,91.23,120.8,8,11
"Memphis",2021-03-14,55,108.76,56.02,91.23,NA,8
"Memphis",2021-03-21,56,81.2,108.76,56.02,NA,NA
"Memphis",2021-03-28,57,81.35,81.2,108.76,NA,NA
"Memphis",2021-04-04,58,77.86,81.35,81.2,NA,NA
"Memphis",2021-04-11,59,122.8,77.86,81.35,NA,NA
"Memphis",2021-04-18,60,101.78,122.8,77.86,NA,NA
"Memphis",2021-04-25,61,102.67,101.78,122.8,NA,NA
"Memphis",2021-05-02,62,95.24,102.67,101.78,NA,NA
"Memphis",2021-05-09,63,91.38,95.24,102.67,NA,NA
"Memphis",2021-05-16,64,83.06,91.38,95.24,NA,NA
"Memphis",2021-05-23,65,69.91,83.06,91.38,NA,NA
"Memphis",2021-05-30,66,26.6,69.91,83.06,NA,NA
"Memphis",2021-06-06,67,31.65,26.6,69.91,NA,NA
"Memphis",2021-06-13,68,30.53,31.65,26.6,NA,NA
"Memphis",2021-06-20,69,23.14,30.53,31.65,NA,NA
"Memphis",2021-06-27,70,24.85,23.14,30.53,NA,NA
"Memphis",2021-07-04,71,63.11,24.85,23.14,NA,NA
"Memphis",2021-07-11,72,95.13,63.11,24.85,NA,NA
"Memphis",2021-07-18,73,152.11,95.13,63.11,NA,NA
"Memphis",2021-07-25,74,245.16,152.11,95.13,NA,NA
"Memphis",2021-08-01,75,377.48,245.16,152.11,NA,NA
"Memphis",2021-08-08,76,353.48,377.48,245.16,NA,NA
"Memphis",2021-08-15,77,628.29,353.48,377.48,NA,NA
"Memphis",2021-08-22,78,548.2,628.29,353.48,NA,NA
"Memphis",2021-08-29,79,551.91,548.2,628.29,NA,NA
"Memphis",2021-09-05,80,564.39,551.91,548.2,NA,NA
"Memphis",2021-09-12,81,476.73,564.39,551.91,NA,NA
"Memphis",2021-09-19,82,305.93,476.73,564.39,NA,NA
"Memphis",2021-09-26,83,222.5,305.93,476.73,NA,NA
"Memphis",2021-10-03,84,179.04,222.5,305.93,NA,NA
"Memphis",2021-10-10,85,120.28,179.04,222.5,NA,NA
"Memphis",2021-10-17,86,94.05,120.28,179.04,NA,NA
"Memphis",2021-10-24,87,84.77,94.05,120.28,NA,NA
"Memphis",2021-10-31,88,65.45,84.77,94.05,NA,NA
"Memphis",2021-11-07,89,91.01,65.45,84.77,NA,NA
"Memphis",2021-11-14,90,110.17,91.01,65.45,NA,NA
"Memphis",2021-11-21,91,69.91,110.17,91.01,NA,NA
"Memphis",2021-11-28,92,114.93,69.91,110.17,NA,NA
"Memphis",2021-12-05,93,143.61,114.93,69.91,NA,NA
"Memphis",2021-12-12,94,149.85,143.61,114.93,NA,NA
"Memphis",2021-12-19,95,326.21,149.85,143.61,NA,NA
"Memphis",2021-12-26,96,1277.07,326.21,149.85,NA,NA
"Memphis",2022-01-02,97,1704.55,1277.07,326.21,NA,NA
"Memphis",2022-01-09,98,1577.44,1704.55,1277.07,NA,NA
"Miami",2020-03-01,1,0.08,NA,NA,NA,NA
"Miami",2020-03-08,2,0.53,0.08,NA,NA,NA
"Miami",2020-03-15,3,5.74,0.53,0.08,3,NA
"Miami",2020-03-22,4,30.15,5.74,0.53,3,3
"Miami",2020-03-29,5,70.11,30.15,5.74,4,3
"Miami",2020-04-05,6,72.48,70.11,30.15,4,4
"Miami",2020-04-12,7,63.19,72.48,70.11,7,4
"Miami",2020-04-19,8,52.53,63.19,72.48,3,7
"Miami",2020-04-26,9,43.4,52.53,63.19,5,3
"Miami",2020-05-03,10,39.52,43.4,52.53,8,5
"Miami",2020-05-10,11,41.74,39.52,43.4,7,8
"Miami",2020-05-17,12,39.94,41.74,39.52,8,7
"Miami",2020-05-24,13,37.23,39.94,41.74,7,8
"Miami",2020-05-31,14,52.77,37.23,39.94,8,7
"Miami",2020-06-07,15,78.65,52.77,37.23,9,8
"Miami",2020-06-14,16,120.71,78.65,52.77,15,9
"Miami",2020-06-21,17,195.37,120.71,78.65,54,15
"Miami",2020-06-28,18,353.5,195.37,120.71,95,54
"Miami",2020-07-05,19,459.92,353.5,195.37,100,95
"Miami",2020-07-12,20,568.29,459.92,353.5,63,100
"Miami",2020-07-19,21,573.32,568.29,459.92,35,63
"Miami",2020-07-26,22,517.9,573.32,568.29,29,35
"Miami",2020-08-02,23,283.44,517.9,573.32,30,29
"Miami",2020-08-09,24,320.79,283.44,517.9,23,30
"Miami",2020-08-16,25,180.19,320.79,283.44,15,23
"Miami",2020-08-23,26,129.68,180.19,320.79,10,15
"Miami",2020-08-30,27,137.15,129.68,180.19,14,10
"Miami",2020-09-06,28,79.05,137.15,129.68,10,14
"Miami",2020-09-13,29,84.44,79.05,137.15,18,10
"Miami",2020-09-20,30,78.32,84.44,79.05,20,18
"Miami",2020-09-27,31,73.76,78.32,84.44,19,20
"Miami",2020-10-04,32,63.8,73.76,78.32,32,19
"Miami",2020-10-11,33,113.35,63.8,73.76,29,32
