"Vars","Estimate","stdError","p"
"Intercept","24.307",11.779,"0.042 *"
"drivingMinus9","1.825",0.456,"<0.001 *"
"walkingMinus9","-0.24",0.69,"0.729"
"transitMinus9","-3.398",0.74,"<0.001 *"
"anomalousWeekend","15.216",23.023,"0.51"
"longWeekend","-29.266",12.495,"0.021 *"
"weekend","-59.677",9.689,"<0.001 *"
"casesTminus1","0.3",0.092,"0.001 *"
"casesTminus2","-0.089",0.085,"0.296"
"R2 Adjusted Training","0.778",NA,NA
"R2 Test","0.347",NA,NA
"RMSE Train","39.024",NA,NA
"RMSE Test","107.279",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.31",NA,NA
