"Vars","Estimate","stdError","p"
"Intercept","5.285",7.413,"0.478"
"drivingMinus9","-0.591",0.607,"0.333"
"walkingMinus9","1.068",0.475,"0.027 *"
"transitMinus9","-0.268",0.356,"0.454"
"anomalousWeekend","-5.704",16.967,"0.737"
"longWeekend","12.467",12.441,"0.319"
"weekend","-3.492",6.742,"0.606"
"casesTminus1","0.382",0.088,"<0.001 *"
"casesTminus2","0.676",0.092,"<0.001 *"
"R2 Adjusted Training","0.824",NA,NA
"R2 Test","0.221",NA,NA
"RMSE Train","29.436",NA,NA
"RMSE Test","450.183",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.461",NA,NA
