"Vars","Estimate","stdError","p"
"Intercept","5.078",14.501,"0.726"
"drivingMinus9","0.1",0.319,"0.753"
"walkingMinus9","0.185",0.292,"0.528"
"transitMinus9","-0.329",0.297,"0.269"
"anomalousWeekend","4.581",29.724,"0.878"
"longWeekend","-13.592",14.897,"0.363"
"weekend","-22.639",7.844,"0.004 *"
"casesTminus1","0.479",0.059,"<0.001 *"
"casesTminus2","0.407",0.06,"<0.001 *"
"R2 Adjusted Training","0.748",NA,NA
"R2 Test","0.749",NA,NA
"RMSE Train","51.97",NA,NA
"RMSE Test","127.623",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.188",NA,NA
