"Vars","Estimate","stdError","p"
"Intercept","136.492",151.024,"0.367"
"drivingMinus9","-8.864",7.655,"0.248"
"walkingMinus9","16.368",5.814,"0.005 *"
"transitMinus9","-8.165",3.761,"0.031 *"
"anomalousWeekend","56.922",407.157,"0.889"
"longWeekend","-29.361",211.204,"0.89"
"weekend","-303.907",108.958,"0.006 *"
"casesTminus1","0.116",0.061,"0.058"
"casesTminus2","0.142",0.061,"0.02 *"
"R2 Adjusted Training","0.291",NA,NA
"R2 Test","0.021",NA,NA
"RMSE Train","733.229",NA,NA
"RMSE Test","656.712",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.53",NA,NA
