"Vars","Estimate","stdError","p"
"Intercept","18.436",16.191,"0.256"
"drivingMinus9","0.647",1.064,"0.544"
"walkingMinus9","-0.193",0.731,"0.792"
"transitMinus9","-1.42",0.595,"0.018 *"
"anomalousWeekend","-1.554",45.048,"0.973"
"longWeekend","-11.49",23.401,"0.624"
"weekend","-14.079",11.964,"0.24"
"casesTminus1","0.453",0.063,"<0.001 *"
"casesTminus2","0.312",0.064,"<0.001 *"
"R2 Adjusted Training","0.66",NA,NA
"R2 Test","0.568",NA,NA
"RMSE Train","80.28",NA,NA
"RMSE Test","183.654",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.232",NA,NA
