"Vars","Estimate","stdError","p"
"Intercept","254.606",132.372,"0.056"
"drivingMinus9","-2.469",3.226,"0.445"
"walkingMinus9","-1.641",6.803,"0.81"
"transitMinus9","3.509",5.365,"0.514"
"anomalousWeekend","-168.742",281.87,"0.55"
"longWeekend","-214.796",143.41,"0.136"
"weekend","-97.301",73.314,"0.186"
"casesTminus1","0.733",0.063,"<0.001 *"
"casesTminus2","0.216",0.064,"0.001 *"
"R2 Adjusted Training","0.931",NA,NA
"R2 Test","0.643",NA,NA
"RMSE Train","497.641",NA,NA
"RMSE Test","655.143",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.193",NA,NA
