"Vars","Estimate","stdError","p"
"Intercept","7.729",6.552,"0.239"
"drivingMinus9","-0.24",0.233,"0.304"
"walkingMinus9","0.361",0.298,"0.228"
"transitMinus9","-0.098",0.158,"0.535"
"anomalousWeekend","6.627",14.515,"0.648"
"longWeekend","-6.859",7.941,"0.389"
"weekend","-13.305",3.927,"0.001 *"
"casesTminus1","0.671",0.063,"<0.001 *"
"casesTminus2","0.308",0.063,"<0.001 *"
"R2 Adjusted Training","0.93",NA,NA
"R2 Test","0.115",NA,NA
"RMSE Train","25.81",NA,NA
"RMSE Test","58.316",NA,NA
"RMSPE Train","0.358",NA,NA
"RMSPE Test","0.133",NA,NA
