"Vars","Estimate","stdError","p"
"Intercept","-154.175",192.329,"0.424"
"drivingMinus9","39.318",11.679,"0.001 *"
"walkingMinus9","-9.709",8.316,"0.244"
"transitMinus9","-32.353",5.834,"<0.001 *"
"R2 Adjusted Training","0.238",NA,NA
"R2 Test","0.362",NA,NA
"RMSE Train","993.903",NA,NA
"RMSE Test","762.06",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.011",NA,NA
