"Vars","Estimate","stdError","p"
"Intercept","0.934",112.298,"0.993"
"drivingMinus9","16.244",5.407,"0.003 *"
"walkingMinus9","-6.121",3.169,"0.055"
"transitMinus9","-10.218",3.671,"0.006 *"
"anomalousWeekend","-84.384",284.058,"0.767"
"longWeekend","-137.218",146.363,"0.349"
"weekend","64.795",74.99,"0.388"
"casesTminus1","0.342",0.063,"<0.001 *"
"casesTminus2","0.344",0.062,"<0.001 *"
"R2 Adjusted Training","0.618",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","507.209",NA,NA
"RMSE Test","959.561",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.361",NA,NA
