"Vars","Estimate","stdError","p"
"Intercept","10.607",9.876,"0.284"
"drivingMinus9","0.313",0.277,"0.259"
"walkingMinus9","0.195",0.268,"0.467"
"transitMinus9","-0.483",0.21,"0.022 *"
"anomalousWeekend","5.063",23.485,"0.83"
"longWeekend","-4.374",11.945,"0.715"
"weekend","-32.417",6.216,"<0.001 *"
"casesTminus1","0.369",0.058,"<0.001 *"
"casesTminus2","0.411",0.062,"<0.001 *"
"R2 Adjusted Training","0.714",NA,NA
"R2 Test","0.172",NA,NA
"RMSE Train","41.547",NA,NA
"RMSE Test","187.303",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.295",NA,NA
