"Vars","Estimate","stdError","p"
"Intercept","59.877",17.71,"0.001 *"
"drivingMinus9","-0.615",0.475,"0.196"
"walkingMinus9","4.328",0.897,"<0.001 *"
"transitMinus9","-2.939",0.944,"0.002 *"
"anomalousWeekend","-21.466",41.289,"0.603"
"longWeekend","10.865",21.891,"0.62"
"weekend","-39.218",11.205,"0.001 *"
"casesTminus1","-0.017",0.012,"0.169"
"casesTminus2","0.962",0.012,"<0.001 *"
"R2 Adjusted Training","0.936",NA,NA
"R2 Test","0.829",NA,NA
"RMSE Train","107.006",NA,NA
"RMSE Test","501.312",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
