"Vars","Estimate","stdError","p"
"Intercept","164.621",162.522,"0.315"
"drivingMinus14","-4.635",6.407,"0.472"
"walkingMinus14","0.855",3.713,"0.819"
"transitMinus14","2.655",2.494,"0.291"
"anomalousWeekend","-44.44",134.745,"0.743"
"longWeekend","-124.471",130.786,"0.345"
"weekend","-86.921",69.276,"0.214"
"casesTminus1","0.23",0.103,"0.03 *"
"casesTminus2","0.554",0.105,"<0.001 *"
"R2 Adjusted Training","0.556",NA,NA
"R2 Test","0.026",NA,NA
"RMSE Train","226.317",NA,NA
"RMSE Test","110.944",NA,NA
"RMSPE Train","17.276",NA,NA
"RMSPE Test","Inf",NA,NA
