"Vars","Estimate","stdError","p"
"Intercept","316.904",46.583,"<0.001 *"
"drivingMinus14","0.286",0.843,"0.736"
"walkingMinus14","0.853",0.653,"0.195"
"transitMinus14","-3.78",0.547,"<0.001 *"
"R2 Adjusted Training","0.719",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","47.066",NA,NA
"RMSE Test","70.046",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.771",NA,NA
