"Vars","Estimate","stdError","p"
"Intercept","36.301",23.166,"0.122"
"drivingMinus14","-0.468",0.655,"0.478"
"walkingMinus14","0.573",0.424,"0.181"
"transitMinus14","-0.335",0.436,"0.446"
"anomalousWeekend","-8.491",17.973,"0.638"
"longWeekend","-6.26",15.693,"0.691"
"weekend","-28.373",9.339,"0.004 *"
"casesTminus1","0.331",0.12,"0.008 *"
"casesTminus2","0.261",0.133,"0.053"
"R2 Adjusted Training","0.402",NA,NA
"R2 Test","0.031",NA,NA
"RMSE Train","26.864",NA,NA
"RMSE Test","21.635",NA,NA
"RMSPE Train","2.282",NA,NA
"RMSPE Test","1.612",NA,NA
