"Vars","Estimate","stdError","p"
"Intercept","186.517",18.709,"<0.001 *"
"drivingMinus14","1.125",0.848,"0.188"
"walkingMinus14","-0.102",0.588,"0.863"
"transitMinus14","-2.774",0.542,"<0.001 *"
"R2 Adjusted Training","0.767",NA,NA
"R2 Test","0.184",NA,NA
"RMSE Train","39.785",NA,NA
"RMSE Test","57.467",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.506",NA,NA
