"date","newCases","city"
2020-09-01,33,"Stockholm"
2020-09-02,28,"Stockholm"
2020-09-03,29,"Stockholm"
2020-09-04,31,"Stockholm"
2020-09-05,31,"Stockholm"
2020-09-06,31,"Stockholm"
2020-09-07,38,"Stockholm"
2020-09-08,36,"Stockholm"
2020-09-09,32,"Stockholm"
2020-09-10,35,"Stockholm"
2020-09-11,37,"Stockholm"
2020-09-12,37,"Stockholm"
2020-09-13,37,"Stockholm"
2020-09-14,28,"Stockholm"
2020-09-15,45,"Stockholm"
2020-09-16,46,"Stockholm"
2020-09-17,48,"Stockholm"
2020-09-18,56,"Stockholm"
2020-09-19,56,"Stockholm"
2020-09-20,56,"Stockholm"
2020-09-21,46,"Stockholm"
2020-09-22,82,"Stockholm"
2020-09-23,88,"Stockholm"
2020-09-24,97,"Stockholm"
2020-09-25,122,"Stockholm"
2020-09-26,122,"Stockholm"
2020-09-27,122,"Stockholm"
2020-09-28,122,"Stockholm"
2020-09-29,133,"Stockholm"
2020-09-30,138,"Stockholm"
2020-10-01,164,"Stockholm"
2020-10-02,153,"Stockholm"
2020-10-03,153,"Stockholm"
2020-10-04,153,"Stockholm"
2020-10-05,153,"Stockholm"
2020-10-06,180,"Stockholm"
2020-10-07,187,"Stockholm"
2020-10-08,195,"Stockholm"
2020-10-09,213,"Stockholm"
2020-10-10,213,"Stockholm"
2020-10-11,213,"Stockholm"
2020-10-12,213,"Stockholm"
2020-10-13,216,"Stockholm"
2020-10-14,212,"Stockholm"
2020-10-15,217,"Stockholm"
2020-10-16,204,"Stockholm"
2020-10-17,204,"Stockholm"
2020-10-18,204,"Stockholm"
2020-10-19,204,"Stockholm"
2020-10-20,239,"Stockholm"
2020-10-21,272,"Stockholm"
2020-10-22,292,"Stockholm"
2020-10-23,321,"Stockholm"
2020-10-24,321,"Stockholm"
2020-10-25,321,"Stockholm"
2020-10-26,321,"Stockholm"
2020-10-27,431,"Stockholm"
2020-10-28,438,"Stockholm"
2020-10-29,525,"Stockholm"
2020-10-30,586,"Stockholm"
2020-10-31,586,"Stockholm"
2020-11-01,586,"Stockholm"
2020-11-02,1035,"Stockholm"
2020-11-03,820,"Stockholm"
2020-11-04,864,"Stockholm"
2020-11-05,860,"Stockholm"
2020-11-06,954,"Stockholm"
2020-11-07,954,"Stockholm"
2020-11-08,954,"Stockholm"
2020-11-09,1106,"Stockholm"
2020-11-10,1160,"Stockholm"
2020-11-11,1246,"Stockholm"
2020-11-12,1306,"Stockholm"
2020-11-13,1347,"Stockholm"
2020-11-14,1347,"Stockholm"
2020-11-15,1347,"Stockholm"
2020-11-16,1366,"Stockholm"
2020-11-17,1368,"Stockholm"
2020-11-18,1352,"Stockholm"
2020-11-19,1275,"Stockholm"
2020-11-20,1239,"Stockholm"
2020-11-21,1239,"Stockholm"
2020-11-22,1239,"Stockholm"
2020-11-23,1321,"Stockholm"
2020-11-24,1398,"Stockholm"
2020-11-25,1416,"Stockholm"
2020-11-26,1479,"Stockholm"
2020-11-27,1587,"Stockholm"
2020-11-28,1587,"Stockholm"
2020-11-29,1587,"Stockholm"
2020-11-30,1596,"Stockholm"
2020-12-01,1581,"Stockholm"
2020-12-02,1651,"Stockholm"
2020-12-03,1708,"Stockholm"
2020-12-04,1599,"Stockholm"
2020-12-05,1599,"Stockholm"
2020-12-06,1599,"Stockholm"
2020-12-07,1507,"Stockholm"
