city,date,newCases
Pittsburgh,2020-06-15,12
Pittsburgh,2020-06-16,33
Pittsburgh,2020-06-17,15
Pittsburgh,2020-06-18,16
Pittsburgh,2020-06-19,36
Pittsburgh,2020-06-20,34
Memphis,2020-06-06,189
Memphis,2020-06-07,119
Memphis,2020-06-08,137
Memphis,2020-06-09,162
Memphis,2020-06-10,147
Memphis,2020-06-11,160
Memphis,2020-06-12,140
Memphis,2020-06-13,149
Memphis,2020-06-14,237
Memphis,2020-06-15,227
Memphis,2020-06-16,198
Memphis,2020-06-17,242
Memphis,2020-06-18,64
Memphis,2020-06-19,358
Memphis,2020-06-20,121
Toronto,2020-06-20,41
Toronto,2020-06-19,49
Toronto,2020-06-18,60
Toronto,2020-06-17,56
Toronto,2020-06-16,50
Toronto,2020-06-15,73
Toronto,2020-06-14,57
Toronto,2020-06-13,39
Toronto,2020-06-12,70
Toronto,2020-06-11,92
Toronto,2020-06-10,73
Toronto,2020-06-09,74
Toronto,2020-06-08,97
Toronto,2020-06-07,94
Montreal,2020-06-07,83
Montreal,2020-06-08,83
Montreal,2020-06-09,63
Montreal,2020-06-10,61
Montreal,2020-06-11,63
Montreal,2020-06-12,82
Montreal,2020-06-13,56
Montreal,2020-06-14,75
Montreal,2020-06-15,29
Montreal,2020-06-16,40
Montreal,2020-06-17,58
Montreal,2020-06-18,58
Montreal,2020-06-19,64
Montreal,2020-06-20,74
Stockholm,2020-06-20,211
Stockholm,2020-06-19,449
Stockholm,2020-06-18,425
Stockholm,2020-06-17,379
Stockholm,2020-06-16,238
Stockholm,2020-06-15,141
Stockholm,2020-06-14,75
Stockholm,2020-06-13,182
Stockholm,2020-06-12,203
Stockholm,2020-06-11,222
Stockholm,2020-06-10,267
Stockholm,2020-06-09,226
Stockholm,2020-06-08,128
Stockholm,2020-06-07,47
