"Vars","Estimate","stdError","p"
"Intercept","20.58",122.579,"0.867"
"drivingMinus7","-4.116",11.994,"0.732"
"walkingMinus7","1.599",9.062,"0.86"
"transitMinus7","-0.833",11.673,"0.943"
"drivingMinus8","-8.072",10.392,"0.439"
"walkingMinus8","20.72",5.469,"<0.001 *"
"transitMinus8","-6.196",11.403,"0.588"
"anomalousWeekend","-91.332",257.275,"0.723"
"longWeekend","-31.002",149.603,"0.836"
"weekend","103.199",158.984,"0.517"
"casesTminus1","0.388",0.079,"<0.001 *"
"casesTminus2","0.42",0.078,"<0.001 *"
"R2 Adjusted Training","0.829",NA,NA
"R2 Test","0.134",NA,NA
"RMSE Train","418.3",NA,NA
"RMSE Test","525.958",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.269",NA,NA
