"Vars","Estimate","stdError","p"
"Intercept","9.784",15.78,"0.536"
"drivingMinus7","0.252",0.665,"0.705"
"walkingMinus7","-0.453",0.406,"0.265"
"transitMinus7","0.547",0.823,"0.507"
"drivingMinus8","0.073",0.717,"0.919"
"walkingMinus8","0.393",0.445,"0.379"
"transitMinus8","-0.763",0.825,"0.356"
"anomalousWeekend","3.226",30.138,"0.915"
"longWeekend","-12.785",14.931,"0.393"
"weekend","-22.903",8.056,"0.005 *"
"casesTminus1","0.482",0.06,"<0.001 *"
"casesTminus2","0.407",0.061,"<0.001 *"
"R2 Adjusted Training","0.75",NA,NA
"R2 Test","0.746",NA,NA
"RMSE Train","51.828",NA,NA
"RMSE Test","129.242",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.191",NA,NA
