"Vars","Estimate","stdError","p"
"Intercept","43.973",146.501,"0.764"
"drivingMinus7","8.35",9.918,"0.401"
"walkingMinus7","-10.309",7.154,"0.151"
"transitMinus7","-4.809",12.179,"0.693"
"drivingMinus8","-6.823",10.956,"0.534"
"walkingMinus8","11.673",6.617,"0.079"
"transitMinus8","2.145",11.994,"0.858"
"anomalousWeekend","-13.759",297.923,"0.963"
"longWeekend","134.91",153.114,"0.379"
"weekend","-125.695",92.635,"0.176"
"casesTminus1","0.562",0.062,"<0.001 *"
"casesTminus2","0.38",0.062,"<0.001 *"
"R2 Adjusted Training","0.872",NA,NA
"R2 Test","0.024",NA,NA
"RMSE Train","526.375",NA,NA
"RMSE Test","778.981",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.445",NA,NA
