"Vars","Estimate","stdError","p"
"Intercept","-1.41",22.53,"0.95"
"drivingMinus7","2.772",1.419,"0.052"
"walkingMinus7","-0.845",0.683,"0.217"
"transitMinus7","-2.409",1.959,"0.22"
"drivingMinus8","-4.311",1.477,"0.004 *"
"walkingMinus8","2.273",0.686,"0.001 *"
"transitMinus8","2.146",1.913,"0.263"
"anomalousWeekend","14.098",53.063,"0.791"
"longWeekend","-27.04",26.729,"0.313"
"weekend","-33.057",14.306,"0.022 *"
"casesTminus1","0.555",0.061,"<0.001 *"
"casesTminus2","0.434",0.064,"<0.001 *"
"R2 Adjusted Training","0.841",NA,NA
"R2 Test","0.357",NA,NA
"RMSE Train","91.463",NA,NA
"RMSE Test","522.286",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.245",NA,NA
