"Vars","Estimate","stdError","p"
"Intercept","198.623",144.097,"0.169"
"drivingMinus7","-4.814",7.721,"0.534"
"walkingMinus7","11.146",8.609,"0.197"
"transitMinus7","-22.818",18.803,"0.226"
"drivingMinus8","2.973",7.82,"0.704"
"walkingMinus8","-14.059",9.993,"0.161"
"transitMinus8","26.054",19.086,"0.174"
"anomalousWeekend","-135.208",285.985,"0.637"
"longWeekend","-215.543",143.52,"0.134"
"weekend","-89.144",74.445,"0.232"
"casesTminus1","0.726",0.064,"<0.001 *"
"casesTminus2","0.217",0.065,"0.001 *"
"R2 Adjusted Training","0.932",NA,NA
"R2 Test","0.67",NA,NA
"RMSE Train","495.086",NA,NA
"RMSE Test","644.68",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.192",NA,NA
