"Vars","Estimate","stdError","p"
"Intercept","20.293",20.827,"0.331"
"drivingMinus7","3.276",1.685,"0.053"
"walkingMinus7","-1.58",0.938,"0.093"
"transitMinus7","-0.67",0.996,"0.502"
"drivingMinus8","-2.058",1.804,"0.255"
"walkingMinus8","1.479",1.011,"0.145"
"transitMinus8","-0.394",0.918,"0.668"
"anomalousWeekend","-16.841",56.91,"0.768"
"longWeekend","-2.245",28.639,"0.938"
"weekend","-26.846",17.045,"0.117"
"casesTminus1","0.34",0.06,"<0.001 *"
"casesTminus2","0.422",0.059,"<0.001 *"
"R2 Adjusted Training","0.675",NA,NA
"R2 Test","0.004",NA,NA
"RMSE Train","98.574",NA,NA
"RMSE Test","249.588",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.538",NA,NA
